idx,elevation,slope,aspect,tri,ndvi_min,ndvi_median,ndvi_mean,ndvi_max,evi_min,evi_median,evi_mean,evi_max,ndwi_min,ndwi_median,ndwi_mean,ndwi_max,prec_min,prec_median,prec_mean,prec_max,prec_sum,lst_min,lst_median,lst_mean,lst_max,is_fire
2,198.0,89.97502899169922,168.6900634765625,,,,,,,,,,,,,,0.0,0.0,2.391895294189453,14.351371765136719,14.351371765136719,302.62,307.6,306.532,310.3,True
3,1313.0,89.99755859375,85.6012954711914,,-0.002832861189801702,0.49743110695936477,0.43673703950339765,0.5591939546599497,-0.021267545725223304,0.2589700687860197,0.24023105049201815,0.38498572282356075,-0.10268180719980667,-0.016025047310606607,-0.009376438325033676,0.0866821653935569,0.0,0.0,0.657109973194835,10.281486511230469,59.79700756072998,288.0,296.96,296.75396226415097,305.38,True
6,196.0,89.99337768554688,171.02737426757812,,0.44987922705314015,0.44987922705314015,0.44987922705314015,0.44987922705314015,0.2672741623017867,0.2672741623017867,0.2672741623017867,0.2672741623017867,,,,,0.0,0.0,0.6616584844059414,10.899858474731445,59.54926359653473,289.28000000000003,299.86,300.6407407407408,314.12,True
7,971.0,89.99839782714844,174.93638610839844,,0.33884711779448623,0.5138502894036338,0.5057902518850117,0.6417341591233922,0.2062393691046853,0.2757365904544901,0.281740364054281,0.36203082878274695,-0.003777861730260676,0.14033901731928133,0.12469639975183038,0.29588014981273403,0.0,0.0,0.8595977982321938,12.910244941711426,78.22339963912964,288.46,299.52,298.9418867924528,308.58,True
0,295.0,89.98726654052734,323.1300964355469,,0.012621359223300994,0.37124183006535943,0.3505819793833494,0.5973084886128365,0.055913070999050594,0.21046331046978134,0.20166255701468572,0.3470606091267834,-0.009949348769898708,0.02767572863090859,0.023211156324613447,0.04314912944738836,0.0,0.0,0.6568534688635187,9.92275333404541,59.7736656665802,292.6,296.14,296.41538461538465,300.34000000000003,True
1,1352.0,89.99871826171875,272.8912658691406,,0.5148106486689166,0.556118754525706,0.5836157673374469,0.736842105263158,0.14914110701762176,0.2830152744448254,0.28002832528139,0.3747792299540798,0.15012041744715013,0.17862532840575668,0.18381555768031213,0.227891156462585,0.0,0.0,0.46671528082627517,11.342008590698242,30.336493253707886,284.88,295.89,295.8725,303.92,True
4,1057.0,89.99884796142578,39.143985748291016,,-0.005496433165711591,0.6416758544652701,0.5263717597596229,0.6753870795515216,-0.030670843121900188,0.25652985074626866,0.2323759704245665,0.3066120951238444,0.12466191295795427,0.30471419523934384,0.30471419523934384,0.48476647752073343,0.0,0.0,0.5586885777148571,11.268959045410156,50.840660572052,287.94,300.6,300.4769014084507,314.08,True
5,202.0,89.98328399658203,66.80140686035156,,-0.017814207650273202,0.3981940777065259,0.2973311510272382,0.5147275405007363,-0.15009208103130733,0.2504491971674433,0.21460617405562385,0.3202218860312657,0.03719527519477257,0.10080019924778444,0.09791526448408286,0.1385300028710882,0.0,0.0,0.6355317084343879,9.325233459472656,57.8333854675293,293.84000000000003,299.55,299.0377777777778,302.3,True
8,288.0,89.98519897460938,234.4623260498047,,-0.019528277960943478,0.5364693446088795,0.3920363363706242,0.6986706056129985,-0.14619327890639858,0.3468541921456719,0.2907777359993383,0.46242065022971973,0.08800000000000001,0.219047619047619,0.20617427548412243,0.2640140690261596,0.0,0.0,0.7363282088395003,10.830613136291504,67.00586700439453,292.8,293.78000000000003,294.00666666666666,295.98,True
9,228.0,89.90996551513672,225.0,,,,,,,,,,,,,,0.0,0.0,0.07961357556856595,5.174882411956787,5.174882411956787,,,,,True
